id,name,type,level,level_codes,city,state,zip_code,district,latitude,longitude,rating,rating_year,distance
3602607,PS 193 Alfred J Kennedy,public,"PK,KG,1,2,3,4,5","p,e",WHITESTONE,NY,11357,New York City Geographic District #25,40.792141,-73.80957,9,2020.0,28.906601463954168
3401860,Memorial School,public,"PK,KG,1,2,3,4,5,6,7,8","p,e,m",South Hackensack,NJ,07606,South Hackensack School District,40.865917,-74.045883,7,2021.0,28.92682279692296
3601210,Jack Abrams STEM Magnet School,public,"4,5,6",e,Huntington Station,NY,11746,Huntington Union Free School District,40.855331,-73.415169,4,2020.0,28.933202430810148
0900003,Bullard-Havens Technical High School,public,"9,10,11,12",h,Bridgeport,CT,06610,Connecticut Technical High Sc,41.200047,-73.163727,3,2020.0,28.943852759516325
0900139,Paul Laurence Dunbar School,public,"PK,KG,1,2,3,4,5,6,7,8","p,e,m",Bridgeport,CT,06607,Bridgeport School District,41.177944,-73.164917,3,2020.0,28.94552425217791
3605995,Our Lady Of Grace Montessori School,private,"PK,KG,1,2,3","p,e",Manhasset,NY,11030,,40.786869,-73.684692,,,28.955084693104006
3614174,Mott Haven Community High School,public,"10,11,12",h,BRONX,NY,10455,New York City Geographic District # 7,40.810429,-73.907402,2,2020.0,28.95681708029378
3614179,New Visions Charter High School for Humanities II,charter,"9,10,11,12,UG",h,BRONX,NY,10455,New Visions Charter High School for Humanities II,40.810429,-73.907402,2,2020.0,28.95681708029378
3618112,Hero High School,public,"9,10,11,12,UG",h,BRONX,NY,10455,New York City Geographic District # 7,40.810429,-73.907402,3,2020.0,28.95681708029378
3404044,Our Lady Of Perpetual Help-Early Childhood,private,"PK,KG","p,e",Oakland,NJ,07436,,41.029793,-74.225845,,,28.960207289944947
3401556,School 18,public,"PK,KG,1,2,3,4,5,6,7,8,UG","p,e,m",Paterson,NJ,07524,Paterson Public School District,40.93811,-74.149277,4,2021.0,28.96794586600718
0901364,Cope School,private,"8,9,10,11,12","m,h",Bridgeport,CT,06610,,41.188747,-73.163597,,,28.972985198901412
3603468,Roslyn Heights Elementary School,public,"KG,1",e,Roslyn Heights,NY,11577,Roslyn Union Free School District,40.789543,-73.645378,,,28.975936098027766
3604919,St Edward Confessor School,private,"PK,KG,1,2,3,4,5,6,7,8","p,e,m",Syosset,NY,11791,,40.819534,-73.501686,,,28.97720929076516
3603792,Village Elementary School,public,"KG,1,2,3,4,5",e,Syosset,NY,11791,Syosset Central School District,40.821026,-73.496918,6,2020.0,28.981485577938784
0900114,Edison School,public,"KG,1,2,3,4,5,6",e,Bridgeport,CT,06610,Bridgeport School District,41.195259,-73.163124,1,2020.0,28.982106329302695
3607696,Laboratory School of Finance and Technology (The):  X223,public,"6,7,8,9,10,11,12","m,h",BRONX,NY,10454,New York City Geographic District # 7,40.813583,-73.920288,8,2020.0,28.986275740365613
3608339,South Bronx Preparatory - A College Board School,public,"6,7,8,9,10,11,12,UG","m,h",BRONX,NY,10454,New York City Geographic District # 7,40.813557,-73.920349,7,2020.0,28.989096772590003
3604471,St. Charles Borromeo,private,"KG,1,2,3,4,5,6,7,8","e,m",New York,NY,10030,,40.820122,-73.941719,,,28.991111263002225
3618357,Legacy College Preparatory Charter School,charter,"6,7",m,BRONX,NY,10454,Legacy College Preparatory Charter School,40.813229,-73.91964,7,2020.0,28.996994420072827
3618221,Family Life Academy Charter School III,charter,"KG,1,2,3,4",e,BRONX,NY,10451,Family Life Academy Charter School III,40.816299,-73.930153,6,2020.0,29.001112257198603
3614178,Brilla College Preparatory Charter School,charter,"KG,1,2,3,4,5,6",e,BRONX,NY,10454,Brilla College Preparatory Charter School,40.812801,-73.919296,7,2020.0,29.01820622118384
0900194,Six-Six Magnet School,public,"PK,KG,1,2,3,4,5,6,7,8","p,e,m",Bridgeport,CT,06610,Cooperative Educational Servi,41.203873,-73.162224,5,2020.0,29.019175562653015
3608340,Community School for Social Justice,public,"9,10,11,12,UG",h,BRONX,NY,10451,New York City Geographic District # 7,40.815872,-73.930107,,,29.02754856027937
3601893,Health Opportunities High School,public,"9,10,11,12",h,BRONX,NY,10451,New York City Geographic District # 7,40.815857,-73.930077,2,2020.0,29.027920762548625
3613504,Success Academy Charter School-Harlem 5,charter,"KG,1,2,3,4,5,6,7,8","e,m",New York,NY,10030,Success Academy Charter School-Harlem 5,40.820335,-73.944344,8,2020.0,29.032353014279145
3602413,PS 123 Mahalia Jackson,public,"PK,KG,1,2,3,4,5,6,7,8,UG","p,e,m",New York,NY,10030,New York City Geographic District # 5,40.820335,-73.944344,5,2020.0,29.032353014279145
3605434,Whitestone Academy,private,"7,8,9,10,11,12","m,h",Queens,NY,11357,,40.790726,-73.813187,,,29.033924465930134
3403066,The New Jersey Japanese School,private,"1,2,3,4,5,6,7,8,9","e,m",Oakland,NJ,07436,,41.028446,-74.226601,,,29.035192687685637
3405623,Puzzles Academy,private,"PK,KG","p,e",Lodi,NJ,07644,,40.880199,-74.07412,,,29.043030062013
3608341,Bronx Charter School for Children (The),charter,"KG,1,2,3,4,5,UG",e,BRONX,NY,10454,Bronx Charter School for Children (The),40.812592,-73.919937,4,2020.0,29.043650192004176
3401486,Palisades Park Jr-Sr High School,public,"7,8,9,10,11,12","m,h",Palisades Park,NJ,07650,Palisades Park School District,40.838757,-73.993851,4,2021.0,29.046257472007156
3614173,Global Community Charter School,charter,"KG,1,2,3,4,5,UG",e,New York,NY,10037,Global Community Charter School,40.817192,-73.93544,7,2020.0,29.04918040936036
3612910,Holy Cross Greek American Ps,private,"PK,KG","p,e",Whitestone,NY,11357,,40.790611,-73.814499,,,29.053228652739634
3617906,Efstathios & Stamatiki Valiots Greek-American Scho,private,"PK,KG,1","p,e",Queens,NY,11357,,40.790611,-73.814499,,,29.053228652739634
0901204,St Joseph High School,private,"9,10,11,12",h,Trumbull,CT,06611,,41.260017,-73.166008,,,29.059059614500352
3608970,High School Mathematics Science and Engineering at Ccny,public,"9,10,11,12",h,New York,NY,10031,New York City Geographic District # 5,40.821472,-73.949036,10,2020.0,29.059850621994112
3404638,Four Seasons Early Learning Center,private,"PK,KG","p,e",Saddle Brook,NJ,07663,,40.897163,-74.100571,,,29.066452707321016
3602966,Meadow Hill Global Explorations Magnet School,public,"KG,1,2,3,4,5,6,7,8,UG","e,m",Newburgh,NY,12550,Newburgh City School District,41.5257,-74.083458,6,2020.0,29.070527669727962
3614175,Heketi Community Charter School,charter,"KG,1,2,3,4,5",e,BRONX,NY,10454,Heketi Community Charter School,40.809315,-73.909782,6,2020.0,29.071238520138692
3407904,Four Seasons Elc,private,"PK,KG","p,e",Saddle Brook,NJ,07663,,40.897034,-74.100563,,,29.072706823915393
3402965,The Young School & Elementary,private,"PK,KG,1","p,e",Ridgefield,NJ,07657,,40.842789,-74.00415,,,29.07297401419215
3403903,Greenhouse Pre-Scho0l,private,"PK,KG","p,e",Ridgefield,NJ,07657,,40.842789,-74.004173,,,29.07358295947407
3608136,Qsac School,private,UG,"e,m,h",Queens,NY,11357,,40.790276,-73.814766,,,29.078398598183107
0900522,Masuk High School,public,"9,10,11,12",h,Monroe,CT,06468,Monroe School District,41.349033,-73.194237,8,2020.0,29.0787341394609
